complex_type,province,city,complex_name,development_status,sale_rate,resident_companies,active_companies
도시첨단,부산,해운대구,회동.석대,완료,100.0,93,93
도시첨단,부산,사상구,모라,조성중,100.0,244,244
도시첨단,부산,북구,금곡,조성중,0.0,0,0
도시첨단,부산,해운대구,센텀2지구,미개발,0.0,0,0
농공,부산,기장군,정관,완료,100.0,32,31
국가,대구,달성군,대구국가,조성중,63.87,298,222
일반,대구,달서구,성서1차[재생사업지구],완료,100.0,986,980
일반,대구,달서구,성서2차[재생사업지구:부분],완료,100.0,1212,1208
일반,대구,달서구,성서3차,완료,100.0,819,814
일반,대구,달서구,성서4차,완료,100.0,70,70
일반,대구,달서구,대구출판,완료,100.0,120,120
일반,대구,동구,대구이시아폴리스,완료,100.0,55,54
일반,대구,북구,검단,완료,100.0,588,585
일반,대구,서구,대구염색[재생사업지구],완료,100.0,127,122
일반,대구,달성군,달성1차,완료,100.0,310,286
일반,대구,달성군,달성2차 (① + ②),완료,100.0,299,279
일반,대구,달성군,달성2차 ①,완료,100.0,293,273
일반,대구,달성군,달성2차(외국인) ②,완료,100.0,6,6
일반,대구,달성군,대구테크노폴리스,조성중,73.96,79,79
일반,대구,달성군,성서5차첨단,완료,100.0,129,128
일반,대구,북구,대구제3[재생사업지구],완료,100.0,2529,2529
일반,대구,달성군,대성하이스코(구: 달성대성하이스코),완료,70.0,2,0
일반,대구,북구,금호워터폴리스,조성중,52.31,0,0
일반,대구,서구,서대구[재생사업지구],완료,100.0,2585,2515
도시첨단,대구,동구,대구신서혁신도시(공공주택지구)도시첨단,완료,28.57,0,0
도시첨단,대구,동구,율하,조성중,0.0,0,0
도시첨단,대구,북구,경북대캠퍼스혁신파크,미개발,0.0,0,0
농공,대구,달성군,구지,완료,100.0,22,22
농공,대구,달성군,옥포,완료,100.0,49,49
농공,대구,군위군,군위,완료,100.0,33,30
농공,대구,군위군,효령,완료,100.0,14,12
국가,인천,남동구,남동[재생사업지구],완료,100.0,8080,7788
국가,인천,부평구,한국수출산업 (① + ②),완료,100.0,3339,3332
국가,인천,부평구,부평 ①,완료,100.0,1867,1862
국가,인천,서구,주안 ②,완료,100.0,1472,1470
일반,인천,미추홀구,인천기계,완료,100.0,179,177
일반,인천,미추홀구,인천,완료,100.0,608,606
일반,인천,서구,뷰티풀파크(구:인천검단),완료,97.1,1293,1268
일반,인천,서구,인천서부,완료,100.0,310,302
일반,인천,서구,청라1지구,완료,100.0,35,35
일반,인천,연수구,송도지식정보,완료,93.46,137,89
일반,인천,강화군,강화하점,완료,100.0,11,10
일반,인천,강화군,강화,완료,100.0,81,67
일반,인천,계양구,서운,완료,100.0,70,69
일반,인천,서구,인천서부자원순환특화,완료,100.0,23,20
일반,인천,서구,I-FoodPark,조성중,100.0,84,69
일반,인천,중구,영종항공(인천경제자유구역),조성중,0.0,0,0
일반,인천,계양구,계양,조성중,76.34,0,0
일반,인천,서구,인천검단2일반산업단지,미개발,0.0,0,0
도시첨단,인천,서구,IHP(인천경제자유구역),완료,64.5,515,413
도시첨단,인천,남동구,남동,미개발,0.0,0,0
도시첨단,인천,계양구,인천계양테크노밸리도시첨단산업단지,미개발,0.0,0,0
국가,광주,북구,광주첨단과학 (① + ②),완료,100.0,2491,2082
국가,광주,북구,광주첨단과학(1단계) ①,완료,100.0,2491,2082
국가,광주,북구,광주첨단과학(2단계) ②,완료,100.0,0,0
국가,광주,광산구,빛그린 (①),완료,84.62,120,94
국가,광주,광산구,빛그린(광주광역시 구역) ①,완료,84.62,120,94
일반,광주,광산구,평동 (① + ②),완료,100.0,703,702
일반,광주,광산구,평동 ①,완료,100.0,697,697
일반,광주,광산구,평동(월전중소협력외국인) ②,완료,100.0,6,5
일반,광주,광산구,소촌,완료,100.0,64,64
일반,광주,남구,송암,완료,100.0,64,64
일반,광주,북구,본촌,완료,100.0,146,135
일반,광주,광산구,진곡,완료,100.0,416,346
