물품순번,물품명,판매지방청명,판매금액,판매한도수량값,판매종료일자
2,알루미늄(비서구산),"부산,인천,대구,전북",4220000,통합50톤/주,2025-08-19
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15090000,50톤/주 ,2025-08-19
4,납(99.99%이상),"인천,대구,부산",3170000,200톤/주 ,2025-08-19
5,납(99.99%이상),전북,3090000,200톤/주 ,2025-08-19
6,아연,"부산,인천,대구,전북",4500000,15톤/주 ,2025-08-19
7,주석(99.85%이상),"부산,인천,대구,전북",52460000,6톤/주 ,2025-08-19
8,주석(99.90%이상),"부산,인천,대구,전북",52860000,4톤/주 ,2025-08-19
9,니켈(합금용),"부산,인천,대구",24660000,5톤/주 ,2025-08-19
10,니켈(도금용),"부산,인천",25050000,3톤/주,2025-08-19
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4250000,통합50톤/주,2025-08-18
2,알루미늄(비서구산),"부산,인천,대구,전북",4240000,통합50톤/주,2025-08-18
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15120000,50톤/주 ,2025-08-18
4,납(99.99%이상),"인천,대구,부산",3180000,200톤/주 ,2025-08-18
5,납(99.99%이상),전북,3100000,200톤/주 ,2025-08-18
6,아연,"부산,인천,대구,전북",4520000,15톤/주 ,2025-08-18
7,주석(99.85%이상),"부산,인천,대구,전북",52300000,6톤/주 ,2025-08-18
8,주석(99.90%이상),"부산,인천,대구,전북",52690000,4톤/주 ,2025-08-18
9,니켈(합금용),"부산,인천,대구",24610000,5톤/주 ,2025-08-18
10,니켈(도금용),"부산,인천",24990000,3톤/주,2025-08-18
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4250000,통합50톤/주,2025-08-14
2,알루미늄(비서구산),"부산,인천,대구,전북",4240000,통합50톤/주,2025-08-14
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15190000,50톤/주 ,2025-08-14
4,납(99.99%이상),"인천,대구,부산",3190000,200톤/주 ,2025-08-14
5,납(99.99%이상),전북,3110000,200톤/주 ,2025-08-14
6,아연,"부산,인천,대구,전북",4580000,15톤/주 ,2025-08-14
7,주석(99.85%이상),"부산,인천,대구,전북",52190000,6톤/주 ,2025-08-14
8,주석(99.90%이상),"부산,인천,대구,전북",52580000,4톤/주 ,2025-08-14
9,니켈(합금용),"부산,인천,대구",24750000,5톤/주 ,2025-08-14
10,니켈(도금용),"부산,인천",25130000,3톤/주,2025-08-14
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4280000,통합50톤/주,2025-08-13
2,알루미늄(비서구산),"부산,인천,대구,전북",4270000,통합50톤/주,2025-08-13
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15320000,50톤/주 ,2025-08-13
4,납(99.99%이상),"인천,대구,부산",3260000,200톤/주 ,2025-08-13
5,납(99.99%이상),전북,3170000,200톤/주 ,2025-08-13
6,아연,"부산,인천,대구,전북",4630000,15톤/주 ,2025-08-13
7,주석(99.85%이상),"부산,인천,대구,전북",52760000,6톤/주 ,2025-08-13
8,주석(99.90%이상),"부산,인천,대구,전북",53160000,4톤/주 ,2025-08-13
9,니켈(합금용),"부산,인천,대구",25010000,5톤/주 ,2025-08-13
10,니켈(도금용),"부산,인천",25390000,3톤/주,2025-08-13
